Page,Text,Font Name,Font Size,Is Heading,Text Type
1,28/02/2025,Times New Roman,12.0,Yes,Normal
1,"Batch B10 (21119,21121,21125)",Times New Roman,12.0,Yes,Normal
1,Indian Institute of Information Technology Una,Times New Roman,32.0,Yes,Normal
1,Topic - PowerRef,Times New Roman,24.0,Yes,Normal
1,Review - 1 ,Times New Roman,24.0,Yes,Normal
1,Project Phase - III (CSL801),Times New Roman,24.0,Yes,Normal
1,Presented by:,Times New Roman,20.0,Yes,Normal
1,        Divyank Sharma                      Harshit Kumar                      Kanhaiya Gupta,Times New Roman,18.0,Yes,Normal
1,               21119			   21121			 21125,Times New Roman,18.0,Yes,Normal
1,       	 Under Supervision of -  Ms. Nisha,Times New Roman,18.0,Yes,Normal
1,1,Default,0.0,No,Text
2,Outline ,Times New Roman,44.0,Yes,Title
2,28/02/2025,Times New Roman,12.0,Yes,Normal
2,"Batch 1 (21317,21319,21324)",Times New Roman,12.0,Yes,Normal
2,<number>,Default,0.0,No,Text
2,INTRODUCTION,Times New Roman,18.0,Yes,Normal
2,MOTIVATION,Times New Roman,18.0,Yes,Normal
2,PROJECT OBJECTIVE,Times New Roman,18.0,Yes,Normal
2,01,Times New Roman,28.0,Yes,Normal
2,02,Times New Roman,28.0,Yes,Normal
2,03,Times New Roman,28.0,Yes,Normal
2,04,Times New Roman,28.0,Yes,Normal
2,INNOVATION IN THE PROJECT,Times New Roman,18.0,Yes,Normal
2,05,Times New Roman,28.0,Yes,Normal
2,CURRENTLY AVAILABLE,Times New Roman,18.0,Yes,Normal
2, SOLUTIONS,Times New Roman,18.0,Yes,Normal
2,06,Times New Roman,28.0,Yes,Normal
2,BLOCK SCHEMATIC,Times New Roman,18.0,Yes,Normal
2,07,Times New Roman,28.0,Yes,Normal
2,WORK PROGRESS,Times New Roman,18.0,Yes,Normal
3,28/02/2025,Times New Roman,12.0,Yes,Normal
3,"Batch 1 (21317,21319,21324)",Times New Roman,12.0,Yes,Normal
3,<number>,Default,0.0,No,Text
3, INTRODUCTION,Times New Roman,24.0,Yes,Normal
3,01,Times New Roman,28.0,Yes,Normal
4, 1.  INTRODUCTION,Times New Roman,44.0,Yes,Title
4,10/03/2025,Default,0.0,No,Normal
4,"Batch 1 (21317,21319,21324)",Times New Roman,12.0,Yes,Normal
4,<number>,Default,0.0,No,Text
4,Android App to improve job application success with personalized referral suggestions.,Times New Roman,24.0,Yes,Normal
4,Uses web scraping and algorithms to recommend the most effective referrals.,Times New Roman,24.0,Yes,Normal
4,"Focuses on strategic referrals, offering a unique approach.",Times New Roman,24.0,Yes,Normal
4,"Includes tools such as a resume builder, company search, and referral.",Times New Roman,24.0,Yes,Normal
4,Interview Preparation via MCQs,Times New Roman,24.0,Yes,Normal
5,10/03/2025,Default,0.0,No,Normal
5,"Batch 1 (21317,21319,21324)",Times New Roman,12.0,Yes,Normal
5,<number>,Default,0.0,No,Text
5,MOTIVATION,Times New Roman,24.0,Yes,Normal
5,02,Times New Roman,28.0,Yes,Normal
6, 2.  MOTIVATION,Times New Roman,44.0,Yes,Title
6,10/03/2025,Default,0.0,No,Normal
6,"Batch 1 (21317,21319,21324)",Times New Roman,12.0,Yes,Normal
6,<number>,Default,0.0,No,Text
6,Help job seekers stand out in a competitive job market.,Times New Roman,24.0,Yes,Normal
6,Simplify the process of finding the most impactful referrals.,Times New Roman,24.0,Yes,Normal
6,Increase the chances of getting noticed by recruiters.,Times New Roman,24.0,Yes,Normal
